hom1 AtChr1 584260 587219
hom1 Vvchr7 3651656 3656907
hom2 AtChr1 588329 589480
hom2 Vvchr7 3628217 3629013
hom3 AtChr1 591826 594236
hom3 Vvchr7 3599085 3601359
hom4 AtChr1 602497 604292
hom4 Vvchr14 1242325 1251135
hom5 AtChr1 607808 609465
hom5 Vvchr5 1454421 1457901
hom6 AtChr1 610391 612324
hom6 Vvchr7 3392426 3394784
hom7 AtChr1 613216 616191
hom7 Vvchr7 3376196 3378852
hom8 AtChr1 618265 620480
hom8 Vvchr7 3356154 3358272
hom9 AtChr1 620678 621289
hom9 Vvchr14 1449753 1450640
hom10 AtChr1 621461 622469
hom10 Vvchr14 1449753 1450640
hom11 AtChr1 623765 624475
hom11 Vvchr7 3321098 3322169
hom12 AtChr1 625145 625608
hom12 Vvchr7 3239966 3241350
hom13 AtChr1 626741 629819
hom13 Vvchr14 1857144 1870475
hom14 AtChr1 630505 633259
hom14 Vvchr7 3112052 3117247
hom15 AtChr1 635144 637262
hom15 Vvchr7 3049273 3052392
hom16 AtChr1 637214 638677
hom16 Vvchr7 3041424 3045918
hom17 AtChr1 642752 644903
hom17 Vvchr7 2993094 2996351
hom18 AtChr1 645092 651906
hom18 Vvchr7 2965042 2991240
hom19 AtChr1 653765 654343
hom19 Vvchr7 2917267 2918890
hom20 AtChr1 655577 658148
hom20 Vvchr7 2908223 2914965
hom21 AtChr1 658657 659771
hom21 Vvchr7 2837432 2838821
hom22 AtChr1 661177 662427
hom22 Vvchr7 2837432 2838821
hom23 AtChr1 663079 664128
hom23 Vvchr7 2837432 2838821
hom24 AtChr1 665152 666452
hom24 Vvchr7 2837432 2838821
hom25 AtChr1 666872 669837
hom25 Vvchr7 2749924 2751301
hom26 AtChr1 673306 676378
hom26 Vvchr7 2742536 2747173
hom27 AtChr1 677869 681310
hom27 Vvchr5 3031098 3046782
hom28 AtChr1 681396 687315
hom28 Vvchr7 2571672 2582070
hom29 AtChr1 687890 692560
hom29 Vvchr7 2590067 2601347
hom30 AtChr1 1718555 1720303
hom30 Vvchr5 1710651 1716408
hom31 AtChr1 1720674 1721309
hom31 Vvchr5 1710651 1716408
hom32 AtChr1 1766503 1768695
hom32 Vvchr5 1016082 1018547
hom33 AtChr1 2927703 2928968
hom33 Vvchr14 2017360 2018190
hom34 AtChr1 2932739 2936586
hom34 Vvchr14 1892425 1897786
hom35 AtChr1 2936528 2939326
hom35 Vvchr5 2943704 2952400
hom36 AtChr1 2939570 2942267
hom36 Vvchr14 1733705 1744766
hom37 AtChr1 2942564 2945961
hom37 Vvchr14 1857144 1870475
hom38 AtChr1 2946229 2949159
hom38 Vvchr14 1547404 1552321
hom39 AtChr1 2949676 2950989
hom39 Vvchr14 1603687 1615727
hom40 AtChr1 2952771 2955689
hom40 Vvchr14 1282304 1289551
hom41 AtChr1 2956589 2962207
hom41 Vvchr14 1271227 1277962
hom42 AtChr1 2966120 2967718
hom42 Vvchr14 1068220 1069677
hom43 AtChr1 2967940 2971457
hom43 Vvchr14 1151351 1155250
hom44 AtChr1 3356680 3359838
hom44 Vvchr5 1135154 1141477
hom45 AtChr1 4528623 4530063
hom45 Vvchr7 3599085 3601359
hom46 AtChr1 6361629 6363007
hom46 Vvchr5 1730894 1734419
hom47 AtChr1 6433574 6436922
hom47 Vvchr5 3197070 3199170
hom48 AtChr1 6671137 6672653
hom48 Vvchr7 3599085 3601359
hom49 AtChr1 8209232 8211325
hom49 Vvchr7 2895742 2898425
hom50 AtChr1 9883038 9883870
hom50 Vvchr7 2917267 2918890
hom51 AtChr1 11913928 11914735
hom51 Vvchr14 1191249 1199707
hom52 AtChr1 12099482 12104108
hom52 Vvchr7 3470195 3478722
hom53 AtChr1 13049164 13049433
hom53 Vvchr5 3181986 3182859
hom54 AtChr1 16232785 16236109
hom54 Vvchr5 3031098 3046782
hom55 AtChr1 17116044 17119158
hom55 Vvchr7 3112052 3117247
hom56 AtChr1 17952865 17955336
hom56 Vvchr14 2019696 2027984
hom57 AtChr1 17995948 17997972
hom57 Vvchr7 2895742 2898425
hom58 AtChr1 18191342 18193598
hom58 Vvchr5 1183937 1188336
hom59 AtChr1 18332429 18333689
hom59 Vvchr5 2987201 2989765
hom60 AtChr1 18458666 18459906
hom60 Vvchr7 2837432 2838821
hom61 AtChr1 20135112 20136970
hom61 Vvchr7 3447101 3448478
hom62 AtChr1 20505000 20506488
hom62 Vvchr7 3438989 3440381
hom63 AtChr1 20851039 20851566
